5
3 8 1
960935 166966 -940535 -137235
865755 763706 -279960 -248253
154343 439579 -371782 -695012
259290 2235 -289056 -246131
25833 2983 -134137 -726960
708601 42807 -228918 -76248
73932 273957 -724025 -468467
457033 578256 -108326 -369015
635679 24272 -57780 -1537
5401 49552 -16265 -20430
34692 607381 -3017 -88728
525602 20817 -583891 -108922
503565 729216 -635679 -399893
12203 549173 -18710 -820612
373410 157760 -39768 -287215
406176 89045 -787400 -144109
437048 236008 -96387 -767957
238822 118880 -12481 -459691
26312 151957 -653652 -182184
337877 343524 -28620 -608016
146725 448735 -6374 -791274
591448 494643 -160011 -4020
61426 29421 -8033 -29335
394758 162532 -163583 -122767
174528 237474 -683235 -2235
338191 291541 -9979 -52571
293800 165763 -269921 -246855
264948 8622 -559583 -619236
230376 533629 -330072 -3310
28357 77939 -591448 -2701
310924 39647 -105076 -158645
613121 8186 -1435 -354105
277811 150828 -468336 -177339
826055 298347 -550157 -271450
4959 88728 -278033 -407259
762921 154161 -159267 -449296
28620 357797 -295866 -2004
316584 1537 -354150 -818273
359919 246131 -464114 -396698
791970 52571 -448690 -622534
569085 15220 -298153 -24272
24293 68648 -64120 -18651
206530 18651 -15398 -17314
367028 74648 -664068 -179957
111237 63941 -41832 -42610
52620 418632 -639783 -358437
308854 822 -22860 -98022
515717 79823 -460956 -121522
16636 187790 -266697 -433305
144045 297699 -347470 -246611
54796 40923 -164667 -581028
302038 37717 -377527 -318707
499020 442328 -76892 -151129
17058 144136 -565368 -541287
346715 200241 -5401 -90424
228918 316179 -53436 -68648
44039 804194 -153087 -133390
749948 265161 -359804 -282204
100285 471752 -35777 -148128
105076 540292 -154343 -669368
163583 133390 -198189 -460015
562803 109407 -5424 -134526
159267 42610 -202433 -826
578700 13259 -9061 -20817
289466 56496 -248113 -480240
146944 301158 -246579 -76234
667458 124 -99011 -453059
347470 60565 -154371 -166966
86632 17314 -653200 -48545
487179 113109 -251488 -151147
555590 592341 -244228 -578256
446196 378138 -56902 -947120
35777 947120 -37405 -372876
205786 493161 -254741 -429427
797664 468467 -338191 -73668
164667 158645 -486141 -79678
358973 31387 -503565 -29421
44685 221010 -897985 -2590
7436 541287 -114643 -89478
156533 488778 -238822 -24188
253865 24758 -308854 -150256
359804 411218 -367028 -110492
9979 154808 -761268 -4402
759332 249933 -569085 -729216
16265 543998 -112811 -241498
294788 196646 -4959 -401733
126654 279717 -539725 -80570
5424 60237 -283747 -34615
761268 248253 -74709 -301158
143321 507090 -530823 -13259
36719 40090 -554860 -367793
367198 475520 -90639 -74648
276172 16039 -937574 -378138
51998 316855 -522353 -101412
90639 102827 -206530 -606900
1435 182184 -27186 -26656
145393 798795 -327703 -26746
7987 181349 -515717 -494643
319937 31467 -567730 -60565
62480 401733 -98687 -565698
293390 4020 -302038 -804194
486297 34615 -25833 -879225
6155 319190 -199310 -165763
153323 33188 -446196 -471752
345038 4093 -144045 -833820
197624 223068 -12058 -82919
377527 358437 -22923 -173853
269921 23589 -61426 -147676
442221 230529 -170638 -916455
452854 95163 -337877 -144136
58490 372876 -2615 -357797
337758 18153 -100285 -198256
13548 726960 -324419 -124
260554 80570 -479697 -16039
315910 392650 -568978 -56496
399929 424612 -787228 -63941
662783 469035 -73932 -293412
599464 108922 -671140 -565853
76892 82919 -28357 -389281
563587 433305 -310924 -40923
318884 122767 -171166 -163777
99011 24960 -607741 -533629
96543 129978 -399929 -825398
724025 581028 -74118 -291541
479697 65995 -25108 -82888
25108 73668 -791970 -230529
286244 271731 -563587 -210109
199310 179646 -358973 -23589
74053 453059 -230376 -157760
583891 29208 -238360 -184714
12481 354105 -49163 -64042
204702 197436 -185139 -344106
170638 622534 -197624 -442328
550157 185996 -102199 -11759
568978 30374 -708601 -54455
381979 627623 -34692 -196646
787228 134526 -486297 -175506
202433 86915 -116434 -40090
554552 274737 -245119 -716578
743597 695012 -381979 -517357
18434 11759 -272996 -450853
352421 565698 -309382 -79823
422050 826 -36719 -507090
238360 78886 -133955 -80705
344968 116973 -278949 -265161
567730 369015 -300863 -663912
112811 694021 -137740 -243450
554860 52316 -74053 -444303
714480 720955 -487179 -7444
416614 459691 -76729 -249933
15043 673579 -146725 -694021
57780 161692 -193527 -777578
559583 428264 -554552 -5682
102199 40128 -286244 -651783
254741 767957 -745473 -223794
683235 19416 -525602 -103674
2714 213492 -759332 -31387
560172 246611 -960935 -221010
496645 287215 -104538 -468071
6374 145287 -18655 -166398
897985 137235 -655866 -10
89702 198256 -72318 -95163
940535 3970 -315910 -469584
153087 318707 -871079 -32625
5782 429427 -4149 -8622
117888 85912 -153323 -18153
537787 449587 -328406 -720955
36933 144109 -826055 -449587
565368 608016 -645135 -794534
72318 148128 -58490 -343524
328406 271450 -18434 -113109
787400 12646 -402594 -298347
24314 5435 -197718 -274737
745473 433861 -44685 -5435
96387 833820 -560172 -433861
645135 2004 -109106 -4093
251488 450853 -662783 -279717
402594 656399 -73584 -185996
245119 22435 -43826 -258799
197718 2590 -15764 -22435
109106 185275 -319937 -297699
295866 81743 -842000 -185275
2615 177459 -86707 -81743
56902 625832 -372054 -449105
539725 293412 -797664 -65995
43826 564477 -749948 -400452
15764 10 -344968 -564477
372054 916455 -499020 -150828
109580 9423 -16636 -271731
655866 469584 -289466 -116973
154371 663912 -250801 -3970
468336 151129 -159574 -592341
278949 480240 -367198 -411218
250801 534114 -379418 -392650
300863 7835 -318884 -534114
108326 353526 -394758 -7835
159574 389281 -95312 -60856
448690 4402 -146944 -223068
74118 79678 -865755 -154808
266697 565470 -133783 -39647
379418 163777 -772002 -30374
2335 57066 -44039 -162532
12058 76234 -7987 -77939
664068 606900 -86632 -997005
713273 76248 -24293 -102827
279960 517357 -294788 -321844
318932 530201 -359919 -316179
198189 32625 -174528 -448855
160011 121522 -52620 -37717
371782 17535 -82498 -627623
170921 128664 -204702 -17535
15398 127276 -6155 -395171
64120 268921 -87015 -127276
53436 396698 -70342 -268921
309382 671288 -153450 -271048
98687 407259 -96543 -671288
82498 344106 -346715 -607381
87015 35465 -90436 -319190
289056 103674 -599464 -92465
288640 56742 -578700 -19416
185139 374393 -15544 -200241
90436 101412 -2714 -179646
44460 565853 -156533 -316855
150201 992427 -562803 -424612
816 20430 -508111 -992427
522353 24188 -416614 -213492
671140 184714 -215894 -488778
530823 367793 -344396 -733588
41832 175506 -126726 -86915
111 91258 -15043 -543998
8033 399893 -316584 -524821
215894 80705 -613121 -118880
104538 611919 -250137 -151957
324419 78538 -22673 -24960
134137 366410 -541893 -78538
137740 791274 -312036 -24758
25 13 3
177705 776301 -120593 -7804
79337 106542 -189916 -485121
117289 252531 -235840 -594840
926377 25571 -487645 -12545
322 111165 -177705 -888861
871679 472724 -245199 -439464
752245 202499 -11091 -28084
380474 664945 -171003 -12868
495709 90780 -993444 -466781
6475 6737 -93560 -400384
91056 273067 -124169 -414483
411641 175062 -80342 -564966
426590 178480 -50493 -32709
270524 519063 -193353 -361489
404722 376111 -418310 -142992
33509 536676 -60596 -255821
112196 43286 -70868 -385475
317807 71631 -263037 -1049623
747995 718826 -26904 -50717
344605 69750 -465503 -158054
2384 8050 -429845 -51797
675203 12394 -589473 -201179
306469 195934 -88716 -89979
505240 282443 -186944 -629506
294132 629506 -354335 -362947
212748 310694 -715567 -775228
660644 688474 -595924 -203261
138740 99965 -682736 -110462
712878 844361 -348044 -45972
43071 52914 -575862 -421849
121577 606836 -243031 -477412
360371 14555 -108327 -57760
153426 117792 -259640 -168756
1961 267120 -43209 -8648
26670 278360 -6475 -48654
30294 25491 -118734 -57690
33172 567766 -438225 -42488
299076 194382 -35027 -299073
241001 212419 -14550 -213992
237847 57183 -165002 -158213
288354 267844 -71911 -254606
832053 254606 -508180 -13640
156312 13568 -174950 -560873
144339 780575 -119248 -405320
126260 351977 -13114 -74952
427719 384157 -215030 -99201
470681 8390 -103798 -778755
69287 6229 -381542 -267120
470394 97006 -27509 -11994
407887 402819 -199055 -296419
164129 405320 -6836 -73420
11091 75874 -194844 -209916
193353 296154 -114162 -959
713922 708095 -42451 -388668
182695 106201 -189589 -270664
63524 184765 -322743 -187059
469052 89979 -10228 -68412
24543 73322 -417663 -57211
103141 574357 -35814 -75874
427442 32545 -145081 -62367
343674 169910 -4069 -52208
150256 189390 -53270 -58292
102444 203261 -224964 -298007
122825 337863 -606800 -810662
133987 142992 -405919 -139436
254946 120871 -150942 -114581
11332 224616 -111602 -8900
487334 33730 -67693 -25491
189748 181501 -108551 -151747
616873 9602 -91091 -43286
4885 200756 -241848 -13723
215933 67442 -92897 -370158
575862 295722 -170697 -418174
16264 661871 -713922 -12838
494357 112570 -427014 -567766
22599 30707 -270782 -1651
501442 308620 -495709 -12332
533841 81097 -26670 -43151
134472 61335 -112837 -185926
662633 111078 -250252 -47374
547977 42488 -157830 -91630
144718 104635 -64165 -962567
94975 679885 -26826 -85234
81914 99683 -16264 -323359
71911 273301 -411641 -320165
342553 74956 -306469 -193549
14302 85628 -3862 -718801
84666 397092 -404722 -447867
438534 651912 -654895 -28552
637363 537647 -954388 -92740
66039 296471 -103830 -523954
568395 335538 -156986 -55991
164786 205135 -1816 -175899
439412 10055 -874750 -326
7193 158530 -438534 -209863
258613 129544 -5420 -19492
221602 99201 -795295 -289904
41338 169496 -58434 -158187
508180 320165 -262391 -397
570779 104366 -734572 -38369
170670 12838 -203725 -776716
3025 490023 -296098 -31713
598805 695599 -150256 -66089
439659 435302 -48347 -340702
122402 3499 -10766 -55296
381996 705737 -189748 -87672
236889 421987 -662633 -144550
97626 762721 -486377 -153877
171002 453552 -14302 -109873
4168 159687 -182695 -117378
170697 661250 -33509 -365321
285127 501808 -290356 -66201
194844 83948 -226746 -267844
446007 98336 -4168 -7337
13543 56000 -5002 -201860
281680 584373 -123821 -700605
89897 168904 -285127 -376111
628013 285175 -361460 -26935
214715 173933 -299076 -99965
189916 475483 -369161 -218600
165817 396566 -419150 -266105
156565 459699 -149175 -379939
296098 502592 -236355 -54449
754101 305520 -123410 -212419
119248 12545 -444600 -227096
68588 214636 -52554 -211265
10766 57180 -547977 -554229
128995 85234 -380474 -21478
350719 110665 -350734 -433512
417408 578521 -100770 -222839
51300 70797 -36464 -502592
108551 73218 -628013 -29529
90218 426179 -310177 -257663
371495 326386 -666432 -476
189589 544997 -154680 -612803
102576 509499 -185084 -87693
276160 48952 -43183 -65379
459860 51090 -339142 -564478
241848 362947 -460577 -276167
117113 649388 -315745 -488676
350734 530028 -239505 -9015
465503 64696 -121591 -649388
463724 477412 -654846 -657166
133134 22849 -804209 -344691
24270 149827 -94177 -89945
494055 158213 -701456 -6048
236355 29679 -215198 -17619
215315 698114 -742246 -32518
108327 481812 -792380 -718826
678954 379861 -66039 -70410
433732 589956 -98504 -8050
193772 70860 -144339 -598578
13114 383709 -402930 -569482
326058 283906 -348623 -169496
103824 172351 -171002 -97006
332680 300314 -68588 -679885
24647 17619 -40684 -519063
208903 409895 -177045 -396566
1816 124493 -258305 -379020
251253 195471 -784749 -1013391
823097 166765 -22927 -590304
608716 38348 -246359 -153397
273631 41591 -219750 -38348
184864 266105 -346329 -811117
105806 543581 -893140 -70782
777680 18274 -66293 -46829
893140 627933 -33721 -351407
224110 574555 -779876 -609639
960404 22953 -344605 -114396
12641 433512 -190119 -345112
274835 19704 -51170 -437592
58434 191753 -389909 -87941
492534 68410 -501442 -71421
429361 387684 -926377 -780575
202598 705004 -633020 -141268
429845 838 -92833 -101567
263037 816253 -325200 -143640
101548 598578 -164129 -589065
73329 9380 -350719 -104543
633020 28125 -321377 -56000
460577 213437 -48050 -705737
174525 146103 -247796 -27975
199448 64293 -6779 -349031
31427 349031 -223538 -578521
40684 82843 -334806 -296154
31826 210444 -199049 -106201
26904 379247 -893283 -78116
80342 308777 -73390 -146832
141828 195000 -22599 -505905
339142 485121 -345379 -420311
198323 158054 -117113 -30070
654846 389365 -371495 -759458
123551 1651 -4775 -245312
226746 51838 -49486 -273301
74431 1049623 -108359 -9602
479867 39731 -79250 -19381
73370 4737 -34992 -80835
55173 205500 -502484 -132695
26573 700605 -185873 -149827
404384 361489 -398128 -29394
62677 686797 -198095 -2962
62411 625932 -41138 -223437
34992 325071 -13454 -720448
954388 276841 -150480 -277103
97571 920588 -450014 -172351
589473 38975 -270524 -111630
479651 71009 -236889 -189390
427014 171703 -152984 -46324
301345 400350 -83167 -816253
688529 759458 -198271 -159909
246359 70985 -121468 -543581
654895 65379 -574127 -149287
334806 143333 -660644 -569932
50663 43286 -70868 -385475
964198 71110 -30294 -25571
31636 418174 -392621 -571490
715567 295693 -1961 -178480
156986 340702 -964198 -387684
110967 747329 -608716 -4576
165313 231273 -441501 -421987
311948 117378 -356030 -61593
120593 170991 -317807 -11865
35814 407639 -344139 -83948
234357 665091 -652441 -308777
125550 612803 -29906 -231347
198271 476 -109235 -245428
47361 254226 -92867 -30707
595924 45972 -174525 -207414
73390 370569 -716845 -391031
657340 380354 -154235 -22477
533096 554229 -9683 -31586
351961 466781 -342553 -429085
190119 9015 -399601 -158530
186627 44059 -343674 -201914
198095 120760 -267338 -329189
267338 47187 -752245 -109781
92897 89945 -168385 -120871
804209 1013391 -378353 -459699
453656 188525 -186627 -446487
301636 324961 -31427 -36898
335532 392917 -97626 -383709
264996 166553 -55173 -177240
573766 180859 -777680 -797997
595695 220983 -539275 -407639
79250 421849 -31636 -57714
21593 48654 -433584 -73218
399601 260512 -276160 -651912
171003 55296 -533096 -90244
54443 139436 -67562 -836135
253449 151501 -281680 -208186
123821 70410 -680 -395726
824659 12005 -430893 -57183
575650 62757 -294132 -200756
38236 509546 -720715 -111165
438225 46324 -675203 -685192
795295 59860 -218258 -317618
475806 189597 -3025 -171703
51152 28084 -200769 -70797
235563 257663 -403742 -3137
428999 310555 -474210 -205135
48050 43151 -21593 -181501
50993 326 -38615 -296471
108359 143640 -157256 -346699
653473 719111 -220623 -569788
422366 601045 -54443 -311169
379433 108706 -272869 -1020749
105162 185008 -253604 -300314
250252 426479 -27978 -283906
288448 78116 -187370 -758933
277252 457295 -1719 -64696
934374 26935 -381981 -457295
325226 47374 -326058 -48138
198741 379035 -69287 -295693
620617 569482 -30054 -326386
188334 61593 -117289 -435302
88716 138199 -43512 -131973
193763 204301 -678954 -584373
487645 57690 -427442 -38059
208061 727767 -168871 -93283
599162 111630 -404384 -169910
497055 267660 -170579 -325071
243296 107989 -476664 -270995
732944 141715 -25197 -20580
652441 114396 -198323 -370569
22927 50717 -288448 -130937
53270 144550 -325226 -184765
549873 429021 -65576 -49920
36236 689962 -36542 -920588
390058 352703 -24491 -129544
245199 253714 -960404 -665091
24406 54449 -24647 -38975
347418 400264 -21585 -63436
356030 270664 -125550 -252531
261938 176803 -380090 -147611
274886 185320 -212748 -185008
203725 388668 -39664 -141715
3862 385475 -51529 -260516
64165 245312 -153426 -429021
4775 511258 -674377 -117792
134293 5636 -144463 -166553
392621 365321 -120616 -260321
825187 347246 -390058 -468896
450014 210897 -368176 -453552
196072 6048 -439412 -172298
67693 226073 -433138 -58613
403742 272309 -232 -47269
224964 207414 -73692 -52914
878241 222839 -62361 -173933
57397 38369 -422366 -296811
127736 135289 -49785 -254226
259640 246622 -4885 -286014
39807 6949 -156312 -48952
311928 159909 -61301 -488001
100597 99179 -206775 -204301
152766 778755 -301345 -71631
476664 57760 -747995 -166765
11623 774117 -24270 -67442
100770 18412 -73001 -194332
374429 562118 -95381 -168904
98504 167034 -134495 -838
354335 192248 -533841 -213437
236465 856517 -224981 -121433
271 351656 -754101 -3065
397244 87672 -413082 -816579
48245 336688 -712878 -688474
54542 474184 -73503 -302128
893283 31847 -344911 -903223
779876 8900 -335632 -51608
792380 108980 -31313 -379247
325498 40928 -492534 -475483
399112 494650 -610167 -570856
153575 405358 -526951 -87270
661409 397 -48245 -143333
993444 613101 -624597 -74956
137506 132695 -11623 -374549
220623 302128 -479651 -695599
539275 25007 -22660 -110352
658039 102148 -118030 -47187
8471 488001 -399112 -698114
311433 341083 -94975 -240487
42451 447057 -279498 -233348
223538 44529 -777680 -18412
325200 209887 -134472 -2646
199265 14841 -682702 -347246
24455 28297 -170804 -6229
215397 193549 -469052 -337863
163827 182660 -146420 -189597
71353 240487 -128995 -99840
121468 300628 -615432 -627933
290356 569788 -598805 -121214
657870 758933 -570779 -91896
502484 208186 -26573 -774117
297595 101567 -261938 -125822
168871 49920 -309666 -162945
43209 737369 -475806 -112570
4069 29394 -156396 -201420
6779 566070 -76443 -44529
229406 7804 -557440 -62581
591078 149287 -24543 -38838
27978 38838 -234427 -126728
436604 836135 -237555 -576890
112204 564478 -35590 -14555
716845 30070 -54088 -14841
118030 34964 -103141 -202499
95381 810662 -653473 -501808
438227 99047 -301180 -25007
74922 131369 -72793 -130651
43512 104543 -12641 -254886
411478 58292 -63524 -409895
177506 201179 -599162 -44059
526951 110462 -342135 -589956
239505 326224 -39807 -260512
46183 657166 -688529 -384819
54088 488676 -934248 -301671
140383 153397 -105806 -762721
102331 158187 -17983 -543561
39664 233348 -407887 -63955
874750 811117 -141828 -18106
174950 139657 -199448 -324961
25998 28552 -591078 -426479
3635 309951 -243296 -8390
35590 420311 -231385 -481812
118734 58613 -402704 -32545
48347 594840 -487334 -71110
643265 260516 -419308 -450595
200769 209916 -288354 -15011
49785 543561 -271 -63629
25573 505095 -24048 -536055
588921 35660 -193763 -151501
199049 132132 -46183 -544997
136540 317618 -221329 -233381
9683 91630 -453656 -176697
51170 213992 -505240 -62757
146420 22511 -51300 -490023
200824 888861 -229406 -689962
701456 6567 -184864 -10055
76443 384249 -236465 -18274
125282 141268 -13543 -509546
405919 231156 -824659 -354956
168385 116209 -60461 -33345
94177 302162 -235563 -116209
223210 200756 -201067 -197990
403374 609639 -3609 -654325
828189 17866 -214715 -255040
140516 254886 -33146 -39304
134495 289904 -136540 -290838
206775 172298 -50993 -379861
88945 329242 -442524 -42516
114588 669094 -439659 -335538
345379 218600 -88945 -472288
141929 276167 -381996 -572251
43183 560873 -301636 -419539
653415 97920 -71353 -182686
253700 379020 -25573 -28125
392014 180776 -215315 -226073
369161 71421 -233547 -329242
403729 351407 -588921 -360401
606800 68412 -54542 -719111
257713 10786 -102331 -135289
219750 296811 -461071 -70985
346329 541990 -47361 -195000
470395 233381 -2656 -959676
682702 301671 -63095 -352703
38615 18106 -17066 -38131
222520 185926 -273631 -747329
56472 175899 -253700 -705004
274813 6400 -188334 -669094
321377 536055 -3635 -205970
742246 570856 -224110 -21855
200172 296419 -459860 -19720
301180 572251 -397244 -237938
113301 145707 -73329 -138199
149783 19720 -112204 -594153
115256 248114 -325498 -106542
734572 447867 -133987 -601045
51875 323359 -170670 -310555
112837 91896 -57397 -41591
272869 353301 -62411 -224616
177045 187059 -257713 -522445
170579 249144 -3368 -330205
500482 441269 -149783 -472393
73632 121214 -80734 -12005
460243 391031 -199265 -56913
73692 27975 -583353 -295722
124169 890823 -122825 -562118
666432 12746 -480803 -107887
465189 130651 -198741 -310694
13454 330205 -521405 -210444
674377 437592 -575650 -246622
66293 121433 -337386 -195471
418310 66201 -73632 -231156
206627 3378 -565911 -509499
557440 11865 -74431 -427553
2720 286014 -306413 -85239
402704 16027 -80795 -354305
30054 84927 -264996 -12746
41138 370158 -254946 -131369
80795 203211 -618606 -3378
120616 255821 -261786 -159694
270782 635286 -274835 -511258
813798 109781 -51152 -22511
2624 4576 -140383 -392917
60461 3137 -27793 -686797
419150 522445 -127736 -541990
656387 216383 -102576 -276841
83167 590304 -284775 -209887
165868 429085 -215397 -890823
103798 270995 -823097 -400350
441501 209863 -25998 -111078
348044 56913 -825187 -146103
279498 361420 -482267 -402819
348623 126728 -657340 -191753
131255 55991 -429361 -70860
188372 7337 -311948 -6400
363073 80835 -303007 -98336
317671 11994 -497055 -4737
303007 720448 -31826 -159687
27509 109873 -88719 -267660
36542 62581 -15814 -210897
720715 201860 -401334 -776301
474210 776716 -732944 -124493
6836 227096 -585193 -239825
88719 718801 -643265 -249144
368176 550865 -112196 -85628
15814 427553 -616873 -550865
401334 23389 -152766 -170991
5002 205970 -470681 -23389
258305 20580 -500482 -505095
585193 60449 -637363 -78710
444600 38059 -458169 -60449
235840 231347 -392014 -33730
521405 70855 -463724 -132132
3368 450595 -121577 -70855
24048 472393 -366738 -309951
25197 63955 -200172 -441269
458169 62367 -656387 -537647
29906 219573 -8471 -180776
154680 384819 -311928 -219573
419308 5999 -126260 -606836
51529 552386 -410532 -5999
70868 75772 -840263 -552386
91091 346699 -22190 -75772
366738 594153 -360371 -107989
145081 354305 -206627 -216383
433138 32518 -372317 -16027
243031 74952 -620617 -389365
410532 161388 -335532 -351977
840263 712865 -2624 -161388
22190 502299 -110967 -712865
157256 2646 -222520 -502299
199055 287894 -79337 -51090
482267 355526 -115256 -287894
150480 87693 -653415 -79515
372317 21855 -403374 -203211
61301 245428 -379433 -494650
284775 130937 -657870 -61335
185084 554067 -311433 -97920
565911 181240 -341976 -554067
618606 654325 -346814 -181240
610167 1020749 -11332 -574555
109235 107887 -286727 -108706
402930 153877 -134293 -84927
231385 472288 -261536 -108980
341976 659365 -332680 -341083
346814 51244 -105162 -659365
3609 51608 -274886 -51244
286727 16459 -63894 -353301
480803 177240 -137506 -16459
486377 70782 -403729 -5636
187370 903223 -84666 -104366
31313 406084 -271273 -31847
261536 42516 -91056 -406084
335632 559642 -465189 -185320
111602 223437 -74922 -559642
63894 374549 -215933 -625932
144463 360401 -253449 -205500
461071 311169 -436604 -300628
344911 27572 -89897 -397092
271273 414483 -374429 -27572
442524 396491 -165868 -273067
233547 12332 -351961 -396491
26826 211265 -122402 -664945
253604 775228 -426590 -214636
33721 249063 -100597 -35660
615432 576890 -69513 -249063
52554 32709 -912304 -3499
72793 114581 -24455 -379035
69513 147809 -196072 -99179
237555 344722 -494055 -147809
67562 354956 -237847 -344722
912304 215441 -33172 -57180
50493 8648 -494357 -215441
150942 33345 -62677 -28297
185873 395726 -90218 -302162
624597 74561 -113301 -195934
381542 45045 -163827 -737369
170804 2962 -45066 -45045
680 523954 -43670 -426179
165002 27546 -165817 -6567
430893 178881 -208903 -27546
80734 66089 -411478 -178881
10228 131973 -140516 -474184
157830 685192 -177506 -188525
45066 329189 -813798 -182660
27793 47269 -658039 -120760
310177 495524 -208061 -272309
43670 16582 -291699 -495524
103830 38131 -144718 -16582
73503 39304 -165313 -71009
152984 31713 -24406 -12394
232 93283 -514455 -102148
291699 962567 -549873 -727767
17066 505905 -123551 -104635
33146 345112 -7193 -231273
514455 162945 -112777 -34964
322743 48138 -41338 -10786
36464 15011 -832053 -29679
112777 467098 -595695 -574357
309666 216827 -436886 -467098
65576 168756 -2720 -216827
92867 63629 -102641 -635286
156396 12493 -45988 -319976
398128 959 -347418 -12493
215198 13640 -661409 -82843
436886 85239 -438227 -220983
102641 3065 -241001 -19704
17983 87941 -514949 -351656
45988 63436 -479867 -115781
